direct_change;old_path;old_line;old_col;old_name;new_path;new_line;new_col;new_name
True;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer
True;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer
True;libusb/sync.c;35;25;sync_transfer_cb;libusb/sync.c;35;25;sync_transfer_cb
True;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list
True;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list
True;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir
True;libusb/io.c;2648;5;usbi_add_event_source;libusb/io.c;2648;5;usbi_add_event_source
True;libusb/io.c;2780;6;usbi_handle_disconnect;libusb/io.c;2780;6;usbi_handle_disconnect
True;libusb/io.c;1706;5;usbi_handle_transfer_cancellation;libusb/io.c;1706;5;usbi_handle_transfer_cancellation
True;libusb/io.c;1658;5;usbi_handle_transfer_completion;libusb/io.c;1657;5;usbi_handle_transfer_completion
True;libusb/hotplug.c;271;6;usbi_hotplug_process;libusb/hotplug.c;271;6;usbi_hotplug_process
True;libusb/io.c;2672;6;usbi_remove_event_source;libusb/io.c;2672;6;usbi_remove_event_source
True;libusb/core.c;750;5;usbi_sanitize_device;libusb/core.c;753;5;usbi_sanitize_device
True;libusb/os/events_posix.c;218;5;usbi_wait_for_events;libusb/os/events_posix.c;218;5;usbi_wait_for_events
