filepath;name;line;column
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_entityValueTok;1324;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_checkPiTarget;229;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;XmlInitUnknownEncodingNS;1673;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolDestroy;7038;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist6;824;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;prolog1;172;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;utf8_isInvalid3;178;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist5;808;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_ignoreSectionTok;1391;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanRef;542;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;XmlGetUtf8InternalEncodingNS;40;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;getContext;6373;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element2;949;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanLit;981;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetParamEntityParsing;1788;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist0;704;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetCdataSectionHandler;1625;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;latin1_toUtf8;506;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;initScanContentNS;72;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetNamespaceDeclHandler;1700;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;hashTableIterNext;6999;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/siphash.h;sip_round;167;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanPi;274;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetAttlistDeclHandler;1770;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;accountingReportStats;7493;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanLit;981;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanHexCharRef;480;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;utf8_isNmstrt2;158;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetStartElementHandler;1593;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanDecl;180;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;reportDefault;6174;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;epilogProcessor;5494;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;dtdCopy;6653;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;keylen;6852;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;initScan;1541;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_contentTok;821;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetNotStandaloneHandler;1724;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;condSect0;1122;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;testingAccountingGetCountBytesDirect;7609;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_nameLength;1727;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;XmlGetUtf16InternalEncodingNS;45;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;utf8_isName2;144;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;little2_toUtf16;727;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;hashTableIterInit;6993;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;doctype2;267;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/siphash.h;sip24_init;192;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetCurrentByteIndex;2246;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;freeBindings;3208;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_updatePosition;1772;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist4;789;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_ParserCreateNS;720;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;ascii_toUtf8;564;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;internalEntityProcessor;5629;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanPoundName;951;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity8;567;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist3;771;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolClear;7019;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_UseParserAsHandlerArg;1496;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;build_model;7321;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_DefaultCurrent;2335;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;entityTrackingOnClose;7662;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;processInternalEntity;5565;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;copyString;7456;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolStoreString;7117;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanEndTag;429;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;unknown_toUtf16;1389;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolBytesToAllocateFor;7128;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;doContent;2734;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;doCdataSection;3873;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity4;491;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetUnknownEncodingHandler;1755;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetProcessingInstructionHandler;1612;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;doctype0;224;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanPercent;921;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;getAttributeId;6310;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;parserCreate;971;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetElementHandler;1584;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;handleUnknownEncoding;4219;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist7;840;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetStartCdataSectionHandler;1635;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;XmlGetUtf16InternalEncoding;45;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/siphash.h;sip24_final;231;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;externalSubset1;388;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;getElementType;7433;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanPi;274;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity2;451;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/siphash.h;sip_tokey;148;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_predefinedEntityName;1654;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;utf8_isInvalid2;172;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;unknown_isNmstrt;1343;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;initScanContent;72;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanLt;723;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;destroyBindings;1418;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;getEncodingIndex;1513;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;unicode_byte_type;599;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;notation2;651;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;big2_toUtf8;737;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;appendAttributeValue;5720;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;initScanProlog;65;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetDoctypeDeclHandler;1665;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;accountingOnAbort;7512;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_checkPiTarget;229;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;entityValueInitProcessor;4285;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_contentTok;821;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;setContext;6469;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/siphash.h;sip24_valid;288;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_ExpatVersion;2455;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element7;1073;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_nameLength;1727;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetElementDeclHandler;1764;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetStartDoctypeDeclHandler;1674;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element5;1024;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetCharacterDataHandler;1605;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_FreeContentModel;2309;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;externalParEntInitProcessor;4265;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_nameMatchesAscii;1708;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolCopyString;7071;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanPoundName;951;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;doctype3;283;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanPi;274;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_prologTok;1015;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;checkCharRefNumber;1242;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolAppendString;7107;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_checkPiTarget;229;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;notation1;631;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity3;475;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;keyeq;6844;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanAtts;570;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetCurrentLineNumber;2285;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;poolCopyStringN;7082;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;externalEntityInitProcessor3;2673;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element3;983;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetXmlDeclHandler;1782;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;toAscii;1044;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanCdataSection;334;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity9;583;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;parsePseudoAttribute;1070;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetEncoding;1222;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetDefaultHandler;1649;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;unsignedCharToPrintable;7686;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanAtts;570;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetEntityDeclHandler;1776;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;errorProcessor;5696;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanCharRef;511;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;little2_toUtf8;726;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element4;1007;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;initUpdatePosition;1037;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;prologInitProcessor;4253;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;XmlPrologStateInitExternalEntity;1249;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;initScanPrologNS;65;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;streqci;1016;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanComment;143;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;normalizeLines;6106;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;attlist9;890;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;findEncoding;94;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_skipS;1757;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;dtdReset;6582;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;externalEntityInitProcessor2;2628;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_scanRef;542;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;doIgnoreSection;4015;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;notation3;667;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;element6;1044;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;hashTableInit;6984;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetIdAttributeIndex;1568;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetBase;1540;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;hashTableClear;6966;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanAtts;570;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetEndElementHandler;1599;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;_INTERNAL_trim_to_complete_utf8_characters;330;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;entity7;543;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok.c;utf8_toUtf8;369;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetBuffer;2038;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_UseForeignDTD;1502;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetFeatureList;2485;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_scanPoundName;951;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_entityValueTok;1324;1
